CORPS  	PROV   	DIST   	VILG   	HAM    	 +PCN   	HDATE  	VSZ1   	HPOPUL 	HPERM  	HTEMP  	HPOINT 	HCAT   	HFLAG1 	HFLAG2 	HFLAG3 	HFLAG4 	HFLAG5 	HFLAG6 	HFLAG7 	HFLAG8 	HFLAG9 	HFLAG10	HMA    	HMB    	HMC    	HMD    	HA     	HB     	HC     	HD     	HE     	HF     	HG     	HL     	HN     	HP     	HR     	HS     	HZ     
1	01	01	02	06	001	7401	   0	   66	   66	    0	YD420553	B	0	9	9	9	1	9	9	9	9	R	82	00000000	0000	0000000	23	100	4220044054	222533	83*3*	223222	82033	011	434	23	13110	42212	002611
1	01	01	03	01	001	7401	   0	  668	  668	    0	YD471401	B	1	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	000	4330044064	222533	83*3*	123222	83134	013	425	23	22110	23113	102620
1	01	01	03	02	001	7401	   0	  355	  355	    0	YD480384	B	1	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	000	4330044064	222533	83*3*	123222	83134	013	425	23	22110	23113	102620
1	01	01	03	03	001	7401	   0	 2174	 2174	    0	YD464401	B	1	9	9	9	1	9	9	9	9	R	84	00000000	0000	0000000	23	000	4330044064	222533	83*3*	123222	83134	313	425	33	23110	23113	102621
1	01	01	03	04	001	7401	   0	  740	  740	    0	YD464396	B	1	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	000	4330044064	222533	83*3*	123222	83134	013	425	23	23110	23113	102620
1	01	01	03	05	001	7401	   0	  576	  576	    0	YD457394	B	1	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	000	4330044064	222533	83*3*	123222	83134	013	425	23	23110	23113	102620
1	01	01	03	06	001	7401	   0	  305	  305	    0	YD464396	B	1	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	000	4330044064	222533	83*3*	123222	83134	013	425	23	23110	23113	102620
1	01	01	03	07	001	7401	   0	  664	  664	    0	YD468388	B	1	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	000	4330044064	222533	83*3*	123222	83134	013	425	23	23110	23113	102620
1	01	01	03	11	001	7401	   0	  547	  547	    0	YD464404	B	1	9	9	9	0	9	9	9	9	R	82	00000000	0000	2000000	23	000	4330044064	222533	83*3*	123222	83134	313	425	33	23110	23113	102620
1	01	01	04	01	001	7401	   0	  267	  267	    0	YD508493	B	0	9	9	9	0	9	9	9	9	R	12	00000000	0000	0000000	23	100	4320044054	222544	83*3*	233223	82002	011	424	02	23110	42112	002610
1	01	01	04	02	001	7401	   0	 1007	 1007	    0	YD492503	B	0	9	9	9	1	9	9	9	9	R	02	00000000	0000	0000000	23	100	4320044054	222544	83*3*	233223	82002	011	424	02	23110	42112	002611
1	01	01	04	03	001	7401	   0	  253	  253	    0	YD511494	B	0	9	9	9	0	9	9	9	9	R	02	00000000	0000	0000000	23	100	4320044054	222544	83*3*	233223	82002	011	424	02	23110	42112	002610
1	01	01	04	04	001	7401	   0	  364	  364	    0	YD516492	B	0	9	9	9	0	9	9	9	9	R	02	00000000	0000	0000000	23	100	4320044054	222544	83*3*	233223	82002	011	424	02	23110	42112	002610
1	01	01	04	05	001	7401	   0	  412	  412	    0	YD486508	B	0	9	9	9	0	9	9	9	9	R	02	00000000	0000	0000000	23	100	4320044054	222544	83*3*	233223	82002	011	424	02	23110	42112	002610
1	01	01	05	01	001	7401	   0	 1104	 1104	    0	YD470475	B	0	9	9	9	1	9	9	9	9	R	02	00000000	0000	0000000	23	100	4220044054	222533	83*4*	233222	82032	012	424	33	23110	42212	002611
1	01	01	05	02	001	7401	   0	 2048	 2048	    0	YD473470	B	0	9	9	9	0	9	9	9	9	R	02	00000000	0000	0000000	23	100	4220044054	222533	83*2*	233222	82032	112	424	33	23110	42212	002610
1	01	01	05	03	001	7401	   0	 2182	 2182	    0	YD497458	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	000	4220044054	222533	83*2*	233222	82032	112	424	33	23110	42212	002610
1	01	01	05	04	001	7401	   0	  756	  756	    0	YD475469	B	0	9	9	9	0	9	9	9	9	R	02	00000000	0000	0000000	23	000	4220044054	222533	83*2*	233222	82032	112	424	33	23110	42212	002610
1	01	01	07	01	001	7401	   0	 2247	 2247	    0	YD389472	B	0	9	9	9	0	9	9	9	9	R	81	00000000	0000	2000000	23	100	4320044054	222533	83*4*	223222	83032	012	425	33	23110	42212	002620
1	01	01	07	02	001	7401	   0	  964	  964	    0	YD394467	B	0	9	9	9	0	9	9	9	9	R	81	00000000	0000	0000000	13	100	4320044054	222533	83*3*	223222	83032	012	425	33	23110	42212	002620
1	01	01	07	03	001	7401	   0	  646	  646	    0	YD393468	B	0	9	9	9	1	9	9	9	9	R	81	00000000	0000	0000000	23	100	4320044054	222533	83*3*	223222	83032	012	425	33	23110	42212	002621
1	01	01	07	04	001	7401	   0	  137	  137	    0	YD393468	B	0	9	9	9	0	9	9	9	9	R	81	00000000	0000	0000000	23	100	4320044054	222533	83*3*	223222	83032	012	425	33	23110	42212	002620
1	01	01	07	05	001	7401	   0	   56	   56	    0	YD393468	B	0	9	9	9	0	9	9	9	9	R	81	00000000	0000	0000000	23	100	4320044054	222533	83*3*	223222	83032	012	425	33	23110	42212	002620
1	01	01	08	01	001	7401	   0	 1536	 1536	    0	YD475424	B	0	9	9	9	1	9	9	9	9	R	82	00000000	0000	0000000	23	000	4220044054	222533	83*4*	123222	83032	112	425	33	23110	43212	002611
1	01	01	08	02	001	7401	   0	  462	  462	    0	YD467426	B	0	9	9	9	0	9	9	9	9	R	02	00000000	0000	0000000	23	100	4220044054	222533	83*3*	223222	83032	012	425	33	23110	42212	002610
1	01	01	08	03	001	7401	   0	  498	  498	    0	YD477374	B	0	9	9	9	0	9	9	9	9	R	02	00000000	0000	0000000	23	100	4220044054	222533	83*3*	223222	83032	012	425	23	23110	42212	002610
1	01	01	09	01	001	7401	   0	  905	  905	    0	YD455512	B	0	9	9	9	0	9	9	9	9	R	02	00000000	0000	0000000	23	100	4220044054	222533	83*3*	223222	83032	012	425	33	23110	42212	002610
1	01	01	09	02	001	7401	   0	 1124	 1124	    0	YD473523	B	0	9	9	9	1	9	9	9	9	R	02	00000000	0000	0000000	23	100	4220044054	222533	83*3*	123222	83032	012	425	33	23110	42212	002611
1	01	01	09	03	001	7401	   0	 1249	 1249	    0	YD481511	B	0	9	9	9	0	9	9	9	9	R	02	00000000	0000	0000000	23	100	4220044054	222533	83*4*	223222	83032	112	425	33	23110	42212	002610
1	01	01	10	01	001	7401	   0	  714	  714	    0	YD462404	B	0	9	9	9	0	9	9	9	9	R	84	00000000	0000	0000000	23	100	4320044054	222533	83*3*	123222	83032	012	401	23	13110	42212	002620
1	01	01	10	02	001	7401	   0	 2200	 2200	    0	YD464410	B	0	9	9	9	1	9	9	9	9	R	84	00000000	0000	0000000	23	000	4320044054	222533	83*3*	123222	83032	212	401	33	23110	42212	002621
1	01	01	10	03	001	7401	   0	  428	  428	    0	YD466423	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	100	4320044054	222533	83*4*	123222	83032	012	401	23	13110	42212	002620
1	01	01	10	04	001	7401	   0	  118	  118	    0	YD445415	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	100	4320044054	222533	83*3*	123222	83032	012	401	23	13110	42212	002620
1	01	01	10	05	001	7401	   0	  238	  238	    0	YD450420	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	100	4320044054	222533	83*3*	123222	83032	012	401	23	13110	42212	002620
1	01	01	10	06	001	7401	   0	  311	  311	    0	YD453406	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	000	4320044054	222533	83*3*	223222	83032	012	401	23	23110	42212	004620
1	01	01	12	01	001	7401	   0	 6481	 6481	    0	YD420480	B	1	9	9	9	1	9	9	9	9	R	85	00000000	0000	0000000	23	100	4330044054	222533	83*4*	233222	83133	312	435	34	23110	42212	102621
1	01	01	12	02	001	7401	   0	  238	  238	    0	YD448466	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	100	4330044054	222533	83*3*	233222	82221	012	435	23	13110	42212	004620
1	01	01	12	03	001	7401	   0	  141	  141	    0	YD419483	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	100	4330044054	222533	83*3*	233222	83133	012	435	34	13110	42212	002620
1	01	01	13	01	001	7401	   0	 5081	 5081	    0	YD428491	B	0	9	9	9	1	9	9	9	9	R	84	00000000	1000	0020000	23	100	4320044054	222533	83*4*	223222	83022	012	435	34	23110	42212	002611
1	01	01	14	01	001	7401	   0	 2052	 2052	    0	YD430450	B	0	9	9	9	0	9	9	9	9	R	83	00000000	0000	0000000	23	100	4320044054	222533	83*3*	123222	83032	012	424	33	23110	42212	002620
1	01	01	14	02	001	7401	   0	 1953	 1953	    0	YD434434	B	0	9	9	9	0	9	9	9	9	R	83	00000000	0000	0000000	23	000	4320044054	222533	83*3*	123222	83032	012	424	33	23110	42212	002620
1	01	01	14	03	001	7401	   0	  980	  980	    0	YD440432	B	0	9	9	9	1	9	9	9	9	R	83	00000000	0000	0000000	23	000	4320044054	222533	83*4*	123222	83032	212	424	33	33110	42212	002621
1	01	01	14	04	001	7401	   0	  665	  665	    0	YD456439	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	100	4320044054	222533	83*3*	123222	83032	012	424	12	13110	42212	002620
1	01	01	14	05	001	7401	   0	  318	  318	    0	YD435428	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	000	4320044054	222533	83*3*	123222	83032	212	424	33	23110	42212	002620
1	01	01	14	06	001	7401	   0	  184	  184	    0	YD437430	B	0	9	9	9	0	9	9	9	9	R	83	00000000	0000	0000000	23	000	4320044054	222533	83*3*	123222	83032	212	424	33	23110	42212	002620
1	01	01	14	07	001	7401	   0	  178	  178	    0	YD434427	B	0	9	9	9	0	9	9	9	9	R	83	00000000	0000	0000000	23	000	4320044054	222533	83*3*	123222	83032	212	424	33	23110	42212	002620
1	01	01	15	01	001	7401	   0	 1448	 1448	    0	YD460448	B	0	9	9	9	0	9	9	9	9	R	02	00000000	0000	0000000	23	100	4220044054	222533	83*3*	123222	82032	012	425	23	13110	42212	002620
1	01	01	15	02	001	7401	   0	 1330	 1330	    0	YD483438	B	0	9	9	9	1	9	9	9	9	R	02	00000000	0000	0000000	23	000	4220044054	222533	83*4*	123222	82032	012	425	23	23110	42212	002621
1	01	01	16	01	001	7401	   0	   20	   20	    0	YD435520	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	13	000	5220044054	222533	83*3*	123222	82031	012	334	23	13110	42212	002620
1	01	01	16	02	001	7401	   0	   90	   90	    0	YD440520	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	13	000	4220044054	222533	83*3*	123222	82031	012	334	23	13110	42212	002620
1	01	01	16	03	001	7401	   0	  337	  337	    0	YD443510	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	13	000	4220044054	222533	83*3*	123222	82031	012	334	23	23110	42212	002620
1	01	01	16	04	001	7401	   0	   92	   92	    0	YD443510	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	13	000	4220044054	222533	83*3*	123222	82031	012	334	23	13110	42212	002620
1	01	01	16	05	001	7401	   0	 1129	 1129	    0	YD430525	B	0	9	9	9	1	9	9	9	9	R	83	00000000	0000	0000000	23	100	4220044054	222533	83*4*	223222	83032	012	405	33	23110	42212	002621
1	01	01	16	06	001	7401	   0	  970	  970	    0	YD422532	B	0	9	9	9	0	9	9	9	9	R	83	00000000	0000	0000000	23	100	4220044054	222533	83*4*	223222	83032	012	405	33	23110	42212	002620
1	01	01	17	01	001	7401	   0	  269	  269	    0	YD399541	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	000	4320044054	222533	83*3*	223222	83032	012	425	23	13110	42212	002610
1	01	01	17	02	001	7401	   0	 2111	 2111	    0	YD390540	B	0	9	9	9	0	9	9	9	9	R	83	00000000	0000	0000000	23	000	4320044054	222533	83*3*	223222	82032	012	425	22	23110	42212	002620
1	01	01	17	03	001	7401	   0	 1303	 1303	    0	YD390538	B	0	9	9	9	1	9	9	9	9	R	83	00000000	0000	0000000	23	100	4320044054	222533	83*4*	223222	83032	312	425	33	23110	42212	002621
1	01	01	17	04	001	7401	   0	  316	  316	    0	YD408538	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	100	4320044054	222533	13*3*	223222	02032	012	425	22	23110	42212	002620
1	01	01	17	05	001	7401	   0	  243	  243	    0	YD406544	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	100	4320044064	222533	83*3*	223222	82032	012	425	22	23110	42212	002620
1	01	01	18	01	001	7401	   0	  614	  614	    0	YD453473	B	0	9	9	9	0	9	9	9	9	R	02	00000000	0000	0000000	23	100	4220044054	222533	83*3*	223222	82032	012	405	23	13110	42212	002620
1	01	01	18	02	001	7401	   0	  302	  302	    0	YD462492	B	0	9	9	9	0	9	9	9	9	R	02	00000000	0000	0000000	23	100	4220044054	222533	83*3*	223222	82032	012	405	23	13110	42212	002620
1	01	01	18	03	001	7401	   0	 1406	 1406	    0	YD455493	B	0	9	9	9	1	9	9	9	9	R	02	00000000	0000	0000000	23	000	4220044054	222533	83*4*	123222	83032	012	425	33	23110	42212	002621
1	01	01	20	01	001	7401	   0	    0	    0	    0	YD520535	X	9	9	9	9	9	9	9	9	9	R	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	01	20	02	001	7401	   0	    0	    0	    0	YD525530	X	9	9	9	9	9	9	9	9	9	R	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	01	01	001	7401	   0	    0	    0	    0	YD319493	X	9	9	9	9	9	9	9	9	9	R	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	01	02	001	7401	   0	    0	    0	    0	YD313479	X	9	9	9	9	9	9	9	9	9	R	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	01	03	001	7401	   0	    0	    0	    0	YD300470	X	9	9	9	9	9	9	9	9	9	R	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	01	04	001	7401	   0	    0	    0	    0	YD301475	X	9	9	9	9	9	9	9	9	9	R	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	01	05	001	7401	   0	    0	    0	    0	YD295464	X	9	9	9	9	9	9	9	9	9	R	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	02	01	001	7401	   0	   41	   41	    0	YD340481	B	0	9	9	9	0	9	9	9	9	R	81	00000000	0000	0000000	23	000	4220033043	222522	83*3*	122222	82001	001	011	21	12110	41222	002630
1	01	02	02	02	001	7401	   0	  328	  328	    0	YD351486	B	0	9	9	9	0	9	9	9	9	R	81	00000000	0000	0000000	23	000	4220033043	222522	83*0*	122222	82001	001	011	21	12110	41222	002630
1	01	02	02	03	001	7401	   0	   66	   66	    0	YD344480	B	0	9	9	9	0	9	9	9	9	R	81	00000000	0000	0000000	23	000	4220033043	222522	80*0*	122222	82001	001	011	21	12110	41222	002630
1	01	02	02	04	001	7401	   0	   99	   99	    0	YD344504	B	0	9	9	9	0	9	9	9	9	R	81	00000000	1000	0000000	23	000	4220033043	222522	80*0*	022222	82001	001	011	21	12110	41222	002630
1	01	02	02	05	001	7401	   0	  132	  132	    0	YD348496	B	0	9	9	9	0	9	9	9	9	R	81	00000000	0000	0000000	23	000	4220033043	222522	80*0*	122222	83032	001	011	21	12110	41222	002630
1	01	02	02	06	001	7401	   0	   16	   16	    0	YD341497	B	0	9	9	9	0	9	9	9	9	R	81	00000000	0000	0000000	23	000	4220033043	222522	80*0*	022222	82001	001	011	21	12110	41222	002630
1	01	02	02	07	001	7401	   0	  180	  180	    0	YD358491	B	0	9	9	9	0	9	9	9	9	R	82	00000000	1000	0000000	23	000	4220033043	222522	80*0*	122222	82001	001	011	21	22110	41222	002630
1	01	02	02	08	001	7401	   0	   20	   20	    0	YD343492	B	0	9	9	9	0	9	9	9	9	R	81	00000000	0000	0000000	23	000	4220033043	222522	80*0*	022222	82001	001	011	21	12110	41222	002630
1	01	02	03	01	001	7401	   0	  631	  631	    0	YD366534	B	0	9	9	9	0	9	9	9	9	R	81	00000000	0000	0000000	23	000	4220033043	222522	83*3*	122222	82001	001	011	21	23100	41222	002630
1	01	02	03	02	001	7401	   0	 1065	 1065	    0	YD374544	B	0	9	9	9	0	9	9	9	9	R	81	00000000	0000	0000000	23	000	4220033043	222522	83*3*	122222	82001	001	011	21	23100	41222	002630
1	01	02	03	03	001	7401	   0	 1003	 1003	    0	YD358536	B	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	000	4220033043	222522	83*3*	122222	82001	001	011	31	23100	41222	002630
1	01	02	04	01	001	7401	   0	  478	  478	    0	YD376501	B	0	9	9	9	1	9	9	9	9	R	80	00000000	0000	0000000	13	000	4220033043	222522	83*3*	122222	82001	001	011	31	22110	41222	002621
1	01	02	04	02	001	7401	   0	  238	  238	    0	YD363510	B	0	9	9	9	1	9	9	9	9	R	80	00000000	0000	0000000	23	000	4220033043	222522	83*3*	122222	82001	211	011	31	12110	41222	002621
1	01	02	04	03	001	7401	   0	 2706	 2706	    0	YD357518	B	0	9	9	9	1	9	9	9	9	R	81	00000000	2200	0010000	13	000	4220033043	222522	83*3*	122222	82001	311	011	31	22110	41222	002621
1	01	02	04	04	001	7401	   0	  166	  166	    0	YD363517	B	0	9	9	9	1	9	9	9	9	R	80	00000000	0000	0000000	13	000	4220033043	222522	83*3*	122222	82001	211	011	21	12110	41222	002621
1	01	02	04	05	001	7401	   0	   85	   85	    0	YD373518	B	0	9	9	9	1	9	9	9	9	R	80	00000000	0000	0000000	13	000	4220033043	222522	83*3*	122222	82001	211	011	31	12110	41222	002621
1	01	02	04	06	001	7401	   0	  303	  303	    0	YD345506	B	0	9	9	9	1	9	9	9	9	R	81	00000000	0000	0000000	13	000	4220033043	222522	83*3*	122222	82001	211	011	21	12110	41222	002621
1	01	02	05	01	001	7401	   0	    0	    0	    0	YD346536	X	9	9	9	9	9	9	9	9	9	U	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	05	02	001	7401	   0	    0	    0	    0	YD333522	X	9	9	9	9	9	9	9	9	9	U	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	05	03	001	7401	   0	    0	    0	    0	YD344502	X	9	9	9	9	9	9	9	9	9	U	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	06	01	001	7401	   0	    0	    0	    0	YD339536	X	9	9	9	9	9	9	9	9	9	U	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	06	02	001	7401	   0	    0	    0	    0	YD334528	X	9	9	9	9	9	9	9	9	9	U	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	06	03	001	7401	   0	    0	    0	    0	YD336531	X	9	9	9	9	9	9	9	9	9	U	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	06	04	001	7401	   0	    0	    0	    0	YD342535	X	9	9	9	9	9	9	9	9	9	U	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	06	05	001	7401	   0	    0	    0	    0	YD333519	X	9	9	9	9	9	9	9	9	9	U	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	06	06	001	7401	   0	    0	    0	    0	YD333529	X	9	9	9	9	9	9	9	9	9	R	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	06	07	001	7401	   0	    0	    0	    0	YD333526	X	9	9	9	9	9	9	9	9	9	R	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	07	01	001	7401	   0	    1	    1	    0	YD328523	V	9	9	9	2	9	9	9	9	9	U	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	07	02	001	7401	   0	    1	    1	    0	YD327513	V	9	9	9	2	9	9	9	9	9	U	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	07	03	001	7401	   0	    1	    1	    0	YD320529	V	9	9	9	2	9	9	9	9	9	U	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	07	04	001	7401	   0	    1	    1	    0	YD333549	V	9	9	9	2	9	9	9	9	9	R	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	07	05	001	7401	   0	    1	    1	    0	YD328553	V	9	9	9	2	9	9	9	9	9	R	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	07	06	001	7401	   0	    1	    1	    0	YD328558	V	9	9	9	2	9	9	9	9	9	R	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	02	07	07	001	7401	   0	    1	    1	    0	YD326548	V	9	9	9	2	9	9	9	9	9	R	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	03	01	01	001	7401	   0	    1	    1	    0	YD275575	V	9	9	9	2	9	9	9	1	9	R	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	03	01	02	001	7401	   0	    1	    1	    0	YD303567	V	9	9	9	2	9	9	9	9	9	R	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	03	01	03	001	7401	   0	    1	    1	    0	YD278577	V	9	9	9	2	9	9	9	9	9	R	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	03	01	04	001	7401	   0	    1	    1	    0	YD273577	V	9	9	9	2	9	9	9	9	9	R	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	03	01	05	001	7401	   0	    1	    1	    0	YD278577	V	9	9	9	2	9	9	9	9	9	R	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	03	01	06	001	7401	   0	    1	    1	    0	YD278577	V	9	9	9	2	9	9	9	9	9	R	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	03	01	07	001	7401	   0	    1	    1	    0	YD274578	V	9	9	9	2	9	9	9	9	9	R	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	03	01	08	001	7401	   0	    1	    1	    0	YD299577	V	9	9	9	2	9	9	9	9	9	R	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	03	01	09	001	7401	   0	    1	    1	    0	YD274578	V	9	9	9	2	9	9	9	9	9	R	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	03	01	10	001	7401	   0	    1	    1	    0	YD291591	V	9	9	9	2	9	9	9	9	9	R	88	28838982	8888	9988999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	03	02	01	001	7401	   0	    0	    0	    0	YD323615	X	9	9	9	9	9	9	9	9	9	R	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	03	02	02	001	7401	   0	    0	    0	    0	YD330600	X	9	9	9	9	9	9	9	9	9	R	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	03	02	03	001	7401	   0	    0	    0	    0	YD300625	X	9	9	9	9	9	9	9	9	9	R	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	03	02	04	001	7401	   0	    0	    0	    0	YD330608	X	9	9	9	9	9	9	9	9	9	R	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
1	01	03	02	05	001	7401	   0	    0	    0	    0	YD319605	X	9	9	9	9	9	9	9	9	9	R	99	99999999	9999	9999999	99	999	9999999999	999999	99*9*	999999	99999	999	999	99	99999	99999	999999
